Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Mesquita, D.P.P., Gomes, J.P.P., Souza Junior, A.H.","56732716100; 55951857000; 56231321600","Ensemble of Efficient Minimal Learning Machines for Classification and Regression",2017,"Neural Processing Letters",46,"3",,751,766,,12,10.1007/s11063-017-9587-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010206861&partnerID=40&md5=d8d82224ea5c827655f789d460f7017e",Article,Final,,Scopus,2-s2.0-85010206861
"Xie, Y., Eftelioglu, E., Ali, R.Y., Tang, X., Li, Y., Doshi, R., Shekhar, S.","57195229262; 56487903800; 55972967700; 57013790300; 57191419667; 57201390767; 35513450400","Transdisciplinary foundations of geospatial data science",2017,"ISPRS International Journal of Geo-Information",6,"12", 395,,,,5,10.3390/ijgi6120395,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044566960&partnerID=40&md5=7d5960e8f4aa583edc810261157aecd3",Article,Final,Open Access,Scopus,2-s2.0-85044566960
"Duan, L., Bao, M., Cui, S., Qiao, Y., Miao, J.","22333554700; 57192428471; 56978632500; 23467846300; 24721619800","Motor Imagery EEG Classification Based on Kernel Hierarchical Extreme Learning Machine",2017,"Cognitive Computation",9,"6",,758,765,,9,10.1007/s12559-017-9494-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026551213&partnerID=40&md5=76d07b10a899767be884bb5cbbdd44b2",Article,Final,,Scopus,2-s2.0-85026551213
"Choi, J., Kim, Y.","56666218400; 55699501300","Adaptive resource provisioning method using application-aware machine learning based on job history in heterogeneous infrastructures",2017,"Cluster Computing",20,"4",,3537,3549,,3,10.1007/s10586-017-1148-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028865774&partnerID=40&md5=137d6b78f1f737cb55f69dadb3b59fc6",Article,Final,,Scopus,2-s2.0-85028865774
"Kobayashi, H., Lei, C., Wu, Y., Mao, A., Jiang, Y., Guo, B., Ozeki, Y., Goda, K.","56117855000; 36246334900; 57196068961; 57195943551; 57191963774; 57102470800; 7103381938; 35227304100","Label-free detection of cellular drug responses by high-throughput bright-field imaging and machine learning",2017,"Scientific Reports",7,"1", 12454,,,,20,10.1038/s41598-017-12378-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030317641&partnerID=40&md5=af6e49c2459849ece187e72e3d8cfbc1",Article,Final,Open Access,Scopus,2-s2.0-85030317641
"Uddin, M.F., Lee, J.","57210470326; 8554815600","Proposing stochastic probability-based math model and algorithms utilizing social networking and academic data for good fit students prediction",2017,"Social Network Analysis and Mining",7,"1", 29,,,,4,10.1007/s13278-017-0448-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023753518&partnerID=40&md5=e5e88a3d8555346609ca7afbaab597a6",Article,Final,,Scopus,2-s2.0-85023753518
"McGranaghan, R.M., Bhatt, A., Matsuo, T., Mannucci, A.J., Semeter, J.L., Datta-Barua, S.","55229795900; 15724366800; 7403702957; 7003263504; 6602652807; 6507969186","Ushering in a New Frontier in Geospace Through Data Science",2017,"Journal of Geophysical Research: Space Physics",122,"12",,12586,12590,,4,10.1002/2017JA024835,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040691096&partnerID=40&md5=8a54f92134c8e576812911765654beee",Note,Final,,Scopus,2-s2.0-85040691096
"Kingston, J.","7102590669","Using artificial intelligence to support compliance with the general data protection regulation",2017,"Artificial Intelligence and Law",25,"4",,429,443,,4,10.1007/s10506-017-9206-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028774071&partnerID=40&md5=418dc5036bebc01ea78e297c41ccf893",Article,Final,,Scopus,2-s2.0-85028774071
"Muscoloni, A., Thomas, J.M., Ciucci, S., Bianconi, G., Cannistraci, C.V.","56669790000; 57209555304; 57189714332; 6701555846; 24075271800","Machine learning meets complex networks via coalescent embedding in the hyperbolic space",2017,"Nature Communications",8,"1", 1615,,,,19,10.1038/s41467-017-01825-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034641477&partnerID=40&md5=99c99f3e6b50da56ac076476c251f525",Article,Final,Open Access,Scopus,2-s2.0-85034641477
"Parodi, S., Dosi, C., Zambon, A., Ferrari, E., Muselli, M.","7101871294; 57196296605; 7006480506; 26637957600; 7003496128","Identifying Environmental and Social Factors Predisposing to Pathological Gambling Combining Standard Logistic Regression and Logic Learning Machine",2017,"Journal of Gambling Studies",33,"4",,1121,1137,,,10.1007/s10899-017-9679-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032567253&partnerID=40&md5=8ddfe26f2fc0e6ff18e21846e59ea3ab",Article,Final,,Scopus,2-s2.0-85032567253
"Ling, J., Hutchinson, M., Antono, E., DeCost, B., Holm, E.A., Meredig, B.","57201523019; 57201518489; 55631275300; 56809377400; 7102446164; 36176190400","Building data-driven models with microstructural images: Generalization and interpretability",2017,"Materials Discovery",10,"",,19,28,,12,10.1016/j.md.2018.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045206677&partnerID=40&md5=8e03a9e173e4f7a4e204dc057d445444",Article,Final,,Scopus,2-s2.0-85045206677
"Zuo, H., Zhang, G., Pedrycz, W., Behbood, V., Lu, J.","56529002100; 7405270696; 56854903200; 36917838800; 7601559842","Fuzzy Regression Transfer Learning in Takagi-Sugeno Fuzzy Models",2017,"IEEE Transactions on Fuzzy Systems",25,"6", 7762049,1795,1807,,26,10.1109/TFUZZ.2016.2633376,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038834112&partnerID=40&md5=506e0bb4ea09662d97d4c734bbdf57c6",Article,Final,,Scopus,2-s2.0-85038834112
"Oswald, F.L., Putka, D.J.","7005448746; 6506093425","Big data methods in the social sciences",2017,"Current Opinion in Behavioral Sciences",18,"",,103,106,,2,10.1016/j.cobeha.2017.10.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034768027&partnerID=40&md5=57f515b7dfc5f8206ce2566b7fc25402",Review,Final,,Scopus,2-s2.0-85034768027
"Ertunç, G.","55503577400","Investigation of statistical learning theory performance on classification of multiple threshold values of metal content | İstatistiksel öǧrenme teorisi ile metal içeriǧinin çoklu sinir deǧerlerinde siniflandirma performansinin incelenmesi",2017,"Scientific Mining Journal",56,"4",,166,172,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040999810&partnerID=40&md5=2c58f015af0303bd4c6066d243f8687d",Article,Final,,Scopus,2-s2.0-85040999810
"Lee, J.J.","57204890378","The role of data mining in political science and international relations",2017,"Turkish Online Journal of Educational Technology",2017,"December Special Issue  ITEC",,907,911,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057640848&partnerID=40&md5=441962f86aec798a115f806a536a4bd8",Article,Final,,Scopus,2-s2.0-85057640848
"Meng, W., Shiyuan, Z., Zhankui, D.","57196457025; 35333101600; 57196450331","A support subset algorithm and its application to information security risk assessment",2017,"Recent Patents on Engineering",11,"3",,188,193,,,10.2174/1872212111666170221164622,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033360859&partnerID=40&md5=c576cfdfb6f0eb382c0e52fec01b21c4",Review,Final,,Scopus,2-s2.0-85033360859
"Costa, C., Santos, M.Y.","57190760644; 8407376200","The data scientist profile and its representativeness in the European e-Competence framework and the skills framework for the information age",2017,"International Journal of Information Management",37,"6",,726,734,,6,10.1016/j.ijinfomgt.2017.07.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028778460&partnerID=40&md5=458fea147c614afd520fb7d9cce4c17c",Article,Final,,Scopus,2-s2.0-85028778460
"Huang, H., Yu, B.","57202910280; 56933322900","Data Wisdom in Computational Genomics Research",2017,"Statistics in Biosciences",9,"2",,646,661,,,10.1007/s12561-016-9173-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027970498&partnerID=40&md5=2d331878342a7a73ec9e1dade457e1a8",Article,Final,,Scopus,2-s2.0-85027970498
"Owusu Adjah, E.S., Montvida, O., Agbeve, J., Paul, S.K.","56125841500; 55990887700; 57046037800; 55936459500","Data mining approach to identify disease cohorts from primary care electronic medical records: A case of diabetes mellitus",2017,"Open Bioinformatics Journal",10,"",,16,27,,4,10.2174/1875036201710010016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043589550&partnerID=40&md5=fb998e8c807f3b5c7f823f60b90f9781",Article,Final,Open Access,Scopus,2-s2.0-85043589550
